PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,TicketCount_x,TicketCount_y
1,0,3,0,22.0,1,0,7.25,S,1,1
2,1,1,1,38.0,1,0,71.2833,C,1,1
3,1,3,1,26.0,0,0,7.925,S,1,1
4,1,1,1,35.0,1,0,53.1,S,2,2
5,0,3,0,35.0,0,0,8.05,S,1,1
6,0,3,0,25.0,0,0,8.4583,Q,1,1
7,0,1,0,54.0,0,0,51.8625,S,1,1
8,0,3,0,2.0,3,1,21.075,S,4,4
9,1,3,1,27.0,0,2,11.1333,S,3,3
10,1,2,1,14.0,1,0,30.0708,C,2,2
11,1,3,1,4.0,1,1,16.7,S,2,2
12,1,1,1,58.0,0,0,26.55,S,1,1
13,0,3,0,20.0,0,0,8.05,S,1,1
14,0,3,0,39.0,1,5,31.275,S,7,7
15,0,3,1,14.0,0,0,7.8542,S,1,1
16,1,2,1,55.0,0,0,16.0,S,1,1
17,0,3,0,2.0,4,1,29.125,Q,5,5
18,1,2,0,30.0,0,0,13.0,S,1,1
19,0,3,1,31.0,1,0,18.0,S,1,1
20,1,3,1,21.5,0,0,7.225,C,1,1
21,0,2,0,35.0,0,0,26.0,S,2,2
22,1,2,0,34.0,0,0,13.0,S,1,1
23,1,3,1,15.0,0,0,8.0292,Q,1,1
24,1,1,0,28.0,0,0,35.5,S,1,1
25,0,3,1,8.0,3,1,21.075,S,4,4
26,1,3,1,38.0,1,5,31.3875,S,4,4
27,0,3,0,25.0,0,0,7.225,C,1,1
28,0,1,0,19.0,3,2,263.0,S,4,4
29,1,3,1,21.5,0,0,7.8792,Q,1,1
30,0,3,0,25.0,0,0,7.8958,S,1,1
31,0,1,0,40.0,0,0,27.7208,C,1,1
32,1,1,1,35.0,1,0,146.5208,C,2,2
33,1,3,1,21.5,0,0,7.75,Q,1,1
34,0,2,0,66.0,0,0,10.5,S,1,1
35,0,1,0,28.0,1,0,82.1708,C,2,2
36,0,1,0,42.0,1,0,52.0,S,2,2
37,1,3,0,25.0,0,0,7.2292,C,1,1
38,0,3,0,21.0,0,0,8.05,S,1,1
39,0,3,1,18.0,2,0,18.0,S,2,2
40,1,3,1,14.0,1,0,11.2417,C,2,2
41,0,3,1,40.0,1,0,9.475,S,1,1
42,0,2,1,27.0,1,0,21.0,S,2,2
43,0,3,0,25.0,0,0,7.8958,C,1,1
44,1,2,1,3.0,1,2,41.5792,C,3,3
45,1,3,1,19.0,0,0,7.8792,Q,1,1
46,0,3,0,25.0,0,0,8.05,S,1,1
47,0,3,0,25.0,1,0,15.5,Q,1,1
48,1,3,1,21.5,0,0,7.75,Q,1,1
49,0,3,0,25.0,2,0,21.6792,C,1,1
50,0,3,1,18.0,1,0,17.8,S,2,2
51,0,3,0,7.0,4,1,39.6875,S,6,6
52,0,3,0,21.0,0,0,7.8,S,1,1
53,1,1,1,49.0,1,0,76.7292,C,3,3
54,1,2,1,29.0,1,0,26.0,S,1,1
55,0,1,0,65.0,0,1,61.9792,C,1,1
56,1,1,0,40.0,0,0,35.5,S,1,1
57,1,2,1,21.0,0,0,10.5,S,1,1
58,0,3,0,28.5,0,0,7.2292,C,1,1
59,1,2,1,5.0,1,2,27.75,S,3,3
60,0,3,0,11.0,5,2,46.9,S,6,6
61,0,3,0,22.0,0,0,7.2292,C,1,1
62,1,1,1,38.0,0,0,80.0,S,2,2
63,0,1,0,45.0,1,0,83.475,S,2,2
64,0,3,0,4.0,3,2,27.9,S,6,6
65,0,1,0,40.0,0,0,27.7208,C,1,1
66,1,3,0,25.0,1,1,15.2458,C,2,2
67,1,2,1,29.0,0,0,10.5,S,1,1
68,0,3,0,19.0,0,0,8.1583,S,1,1
69,1,3,1,17.0,4,2,7.925,S,1,1
70,0,3,0,26.0,2,0,8.6625,S,1,1
71,0,2,0,32.0,0,0,10.5,S,1,1
72,0,3,1,16.0,5,2,46.9,S,6,6
73,0,2,0,21.0,0,0,73.5,S,5,5
74,0,3,0,26.0,1,0,14.4542,C,1,1
75,1,3,0,32.0,0,0,56.4958,S,7,7
76,0,3,0,25.0,0,0,7.65,S,1,1
77,0,3,0,25.0,0,0,7.8958,S,1,1
78,0,3,0,25.0,0,0,8.05,S,1,1
79,1,2,0,0.83,0,2,29.0,S,2,2
80,1,3,1,30.0,0,0,12.475,S,2,2
81,0,3,0,22.0,0,0,9.0,S,1,1
82,1,3,0,29.0,0,0,9.5,S,1,1
83,1,3,1,21.5,0,0,7.7875,Q,1,1
84,0,1,0,28.0,0,0,47.1,S,1,1
85,1,2,1,17.0,0,0,10.5,S,1,1
86,1,3,1,33.0,3,0,15.85,S,2,2
87,0,3,0,16.0,1,3,34.375,S,4,4
88,0,3,0,25.0,0,0,8.05,S,1,1
89,1,1,1,23.0,3,2,263.0,S,4,4
90,0,3,0,24.0,0,0,8.05,S,1,1
91,0,3,0,29.0,0,0,8.05,S,1,1
92,0,3,0,20.0,0,0,7.8542,S,1,1
93,0,1,0,46.0,1,0,61.175,S,1,1
94,0,3,0,26.0,1,2,20.575,S,2,2
95,0,3,0,59.0,0,0,7.25,S,1,1
96,0,3,0,25.0,0,0,8.05,S,1,1
97,0,1,0,71.0,0,0,34.6542,C,1,1
98,1,1,0,23.0,0,1,63.3583,C,1,1
99,1,2,1,34.0,0,1,23.0,S,2,2
100,0,2,0,34.0,1,0,26.0,S,2,2
101,0,3,1,28.0,0,0,7.8958,S,1,1
102,0,3,0,25.0,0,0,7.8958,S,1,1
103,0,1,0,21.0,0,1,77.2875,S,2,2
104,0,3,0,33.0,0,0,8.6542,S,1,1
105,0,3,0,37.0,2,0,7.925,S,1,1
106,0,3,0,28.0,0,0,7.8958,S,1,1
107,1,3,1,21.0,0,0,7.65,S,1,1
108,1,3,0,25.0,0,0,7.775,S,1,1
109,0,3,0,38.0,0,0,7.8958,S,1,1
110,1,3,1,21.5,1,0,24.15,Q,3,3
111,0,1,0,47.0,0,0,52.0,S,2,2
112,0,3,1,14.5,1,0,14.4542,C,2,2
113,0,3,0,22.0,0,0,8.05,S,1,1
114,0,3,1,20.0,1,0,9.825,S,1,1
115,0,3,1,17.0,0,0,14.4583,C,2,2
116,0,3,0,21.0,0,0,7.925,S,1,1
117,0,3,0,70.5,0,0,7.75,Q,1,1
118,0,2,0,29.0,1,0,21.0,S,2,2
119,0,1,0,24.0,0,1,247.5208,C,2,2
120,0,3,1,2.0,4,2,31.275,S,7,7
121,0,2,0,21.0,2,0,73.5,S,5,5
122,0,3,0,25.0,0,0,8.05,S,1,1
123,0,2,0,32.5,1,0,30.0708,C,2,2
124,1,2,1,32.5,0,0,13.0,S,1,1
125,0,1,0,54.0,0,1,77.2875,S,2,2
126,1,3,0,12.0,1,0,11.2417,C,2,2
127,0,3,0,25.0,0,0,7.75,Q,1,1
128,1,3,0,24.0,0,0,7.1417,S,1,1
129,1,3,1,21.5,1,1,22.3583,C,2,2
130,0,3,0,45.0,0,0,6.975,S,1,1
131,0,3,0,33.0,0,0,7.8958,C,1,1
132,0,3,0,20.0,0,0,7.05,S,1,1
133,0,3,1,47.0,1,0,14.5,S,1,1
134,1,2,1,29.0,1,0,26.0,S,1,1
135,0,2,0,25.0,0,0,13.0,S,1,1
136,0,2,0,23.0,0,0,15.0458,C,1,1
137,1,1,1,19.0,0,2,26.2833,S,1,1
138,0,1,0,37.0,1,0,53.1,S,2,2
139,0,3,0,16.0,0,0,9.2167,S,2,2
140,0,1,0,24.0,0,0,79.2,C,2,2
141,0,3,1,21.5,0,2,15.2458,C,2,2
142,1,3,1,22.0,0,0,7.75,S,1,1
143,1,3,1,24.0,1,0,15.85,S,2,2
144,0,3,0,19.0,0,0,6.75,Q,1,1
145,0,2,0,18.0,0,0,11.5,S,1,1
146,0,2,0,19.0,1,1,36.75,S,2,2
147,1,3,0,27.0,0,0,7.7958,S,1,1
148,0,3,1,9.0,2,2,34.375,S,4,4
149,0,2,0,36.5,0,2,26.0,S,3,3
150,0,2,0,42.0,0,0,13.0,S,1,1
151,0,2,0,51.0,0,0,12.525,S,1,1
152,1,1,1,22.0,1,0,66.6,S,2,2
153,0,3,0,55.5,0,0,8.05,S,1,1
154,0,3,0,40.5,0,2,14.5,S,1,1
155,0,3,0,25.0,0,0,7.3125,S,1,1
156,0,1,0,51.0,0,1,61.3792,C,1,1
157,1,3,1,16.0,0,0,7.7333,Q,1,1
158,0,3,0,30.0,0,0,8.05,S,1,1
159,0,3,0,25.0,0,0,8.6625,S,1,1
160,0,3,0,25.0,8,2,69.55,S,7,7
161,0,3,0,44.0,0,1,16.1,S,1,1
162,1,2,1,40.0,0,0,15.75,S,1,1
163,0,3,0,26.0,0,0,7.775,S,1,1
164,0,3,0,17.0,0,0,8.6625,S,1,1
165,0,3,0,1.0,4,1,39.6875,S,6,6
166,1,3,0,9.0,0,2,20.525,S,3,3
167,1,1,1,35.0,0,1,55.0,S,2,2
168,0,3,1,45.0,1,4,27.9,S,6,6
169,0,1,0,40.0,0,0,25.925,S,1,1
170,0,3,0,28.0,0,0,56.4958,S,7,7
171,0,1,0,61.0,0,0,33.5,S,1,1
172,0,3,0,4.0,4,1,29.125,Q,5,5
173,1,3,1,1.0,1,1,11.1333,S,3,3
174,0,3,0,21.0,0,0,7.925,S,1,1
175,0,1,0,56.0,0,0,30.6958,C,1,1
176,0,3,0,18.0,1,1,7.8542,S,1,1
177,0,3,0,25.0,3,1,25.4667,S,4,4
178,0,1,1,50.0,0,0,28.7125,C,1,1
179,0,2,0,30.0,0,0,13.0,S,1,1
180,0,3,0,36.0,0,0,0.0,S,4,4
181,0,3,1,21.5,8,2,69.55,S,7,7
182,0,2,0,30.0,0,0,15.05,C,1,1
183,0,3,0,9.0,4,2,31.3875,S,4,4
184,1,2,0,1.0,2,1,39.0,S,2,2
185,1,3,1,4.0,0,2,22.025,S,1,1
186,0,1,0,40.0,0,0,50.0,S,1,1
187,1,3,1,21.5,1,0,15.5,Q,2,2
188,1,1,0,45.0,0,0,26.55,S,1,1
189,0,3,0,40.0,1,1,15.5,Q,2,2
190,0,3,0,36.0,0,0,7.8958,S,1,1
191,1,2,1,32.0,0,0,13.0,S,1,1
192,0,2,0,19.0,0,0,13.0,S,1,1
193,1,3,1,19.0,1,0,7.8542,S,1,1
194,1,2,0,3.0,1,1,26.0,S,3,3
195,1,1,1,44.0,0,0,27.7208,C,1,1
196,1,1,1,58.0,0,0,146.5208,C,2,2
197,0,3,0,25.0,0,0,7.75,Q,1,1
198,0,3,0,42.0,0,1,8.4042,S,1,1
199,1,3,1,21.5,0,0,7.75,Q,1,1
200,0,2,1,24.0,0,0,13.0,S,1,1
201,0,3,0,28.0,0,0,9.5,S,1,1
202,0,3,0,25.0,8,2,69.55,S,7,7
203,0,3,0,34.0,0,0,6.4958,S,1,1
204,0,3,0,45.5,0,0,7.225,C,1,1
205,1,3,0,18.0,0,0,8.05,S,1,1
206,0,3,1,2.0,0,1,10.4625,S,2,2
207,0,3,0,32.0,1,0,15.85,S,2,2
208,1,3,0,26.0,0,0,18.7875,C,2,2
209,1,3,1,16.0,0,0,7.75,Q,1,1
210,1,1,0,40.0,0,0,31.0,C,1,1
211,0,3,0,24.0,0,0,7.05,S,1,1
212,1,2,1,35.0,0,0,21.0,S,1,1
213,0,3,0,22.0,0,0,7.25,S,1,1
214,0,2,0,30.0,0,0,13.0,S,1,1
215,0,3,0,25.0,1,0,7.75,Q,1,1
216,1,1,1,31.0,1,0,113.275,C,3,3
217,1,3,1,27.0,0,0,7.925,S,1,1
218,0,2,0,42.0,1,0,27.0,S,2,2
219,1,1,1,32.0,0,0,76.2917,C,1,1
220,0,2,0,30.0,0,0,10.5,S,1,1
221,1,3,0,16.0,0,0,8.05,S,1,1
222,0,2,0,27.0,0,0,13.0,S,1,1
223,0,3,0,51.0,0,0,8.05,S,1,1
224,0,3,0,25.0,0,0,7.8958,S,1,1
225,1,1,0,38.0,1,0,90.0,S,2,2
226,0,3,0,22.0,0,0,9.35,S,1,1
227,1,2,0,19.0,0,0,10.5,S,1,1
228,0,3,0,20.5,0,0,7.25,S,1,1
229,0,2,0,18.0,0,0,13.0,S,1,1
230,0,3,1,21.5,3,1,25.4667,S,4,4
231,1,1,1,35.0,1,0,83.475,S,2,2
232,0,3,0,29.0,0,0,7.775,S,1,1
233,0,2,0,59.0,0,0,13.5,S,1,1
234,1,3,1,5.0,4,2,31.3875,S,4,4
235,0,2,0,24.0,0,0,10.5,S,1,1
236,0,3,1,21.5,0,0,7.55,S,1,1
237,0,2,0,44.0,1,0,26.0,S,1,1
238,1,2,1,8.0,0,2,26.25,S,3,3
239,0,2,0,19.0,0,0,10.5,S,1,1
240,0,2,0,33.0,0,0,12.275,S,1,1
241,0,3,1,21.5,1,0,14.4542,C,2,2
242,1,3,1,21.5,1,0,15.5,Q,2,2
243,0,2,0,29.0,0,0,10.5,S,1,1
244,0,3,0,22.0,0,0,7.125,S,1,1
245,0,3,0,30.0,0,0,7.225,C,1,1
246,0,1,0,44.0,2,0,90.0,Q,2,2
247,0,3,1,25.0,0,0,7.775,S,1,1
248,1,2,1,24.0,0,2,14.5,S,2,2
249,1,1,0,37.0,1,1,52.5542,S,2,2
250,0,2,0,54.0,1,0,26.0,S,2,2
251,0,3,0,25.0,0,0,7.25,S,1,1
252,0,3,1,29.0,1,1,10.4625,S,2,2
253,0,1,0,62.0,0,0,26.55,S,1,1
254,0,3,0,30.0,1,0,16.1,S,2,2
255,0,3,1,41.0,0,2,20.2125,S,2,2
256,1,3,1,29.0,0,2,15.2458,C,1,1
257,1,1,1,35.0,0,0,79.2,C,1,1
258,1,1,1,30.0,0,0,86.5,S,3,3
259,1,1,1,35.0,0,0,512.3292,C,3,3
260,1,2,1,50.0,0,1,26.0,S,2,2
261,0,3,0,25.0,0,0,7.75,Q,1,1
262,1,3,0,3.0,4,2,31.3875,S,4,4
263,0,1,0,52.0,1,1,79.65,S,3,3
264,0,1,0,40.0,0,0,0.0,S,1,1
265,0,3,1,21.5,0,0,7.75,Q,1,1
266,0,2,0,36.0,0,0,10.5,S,1,1
267,0,3,0,16.0,4,1,39.6875,S,6,6
268,1,3,0,25.0,1,0,7.775,S,1,1
269,1,1,1,58.0,0,1,153.4625,S,3,3
270,1,1,1,35.0,0,0,135.6333,S,3,3
271,0,1,0,40.0,0,0,31.0,S,2,2
272,1,3,0,25.0,0,0,0.0,S,4,4
273,1,2,1,41.0,0,1,19.5,S,2,2
274,0,1,0,37.0,0,1,29.7,C,1,1
275,1,3,1,21.5,0,0,7.75,Q,1,1
276,1,1,1,63.0,1,0,77.9583,S,3,3
277,0,3,1,45.0,0,0,7.75,S,1,1
278,0,2,0,30.0,0,0,0.0,S,3,3
279,0,3,0,7.0,4,1,29.125,Q,5,5
280,1,3,1,35.0,1,1,20.25,S,2,2
281,0,3,0,65.0,0,0,7.75,Q,1,1
282,0,3,0,28.0,0,0,7.8542,S,1,1
283,0,3,0,16.0,0,0,9.5,S,1,1
284,1,3,0,19.0,0,0,8.05,S,1,1
285,0,1,0,40.0,0,0,26.0,S,1,1
286,0,3,0,33.0,0,0,8.6625,C,1,1
287,1,3,0,30.0,0,0,9.5,S,1,1
288,0,3,0,22.0,0,0,7.8958,S,1,1
289,1,2,0,42.0,0,0,13.0,S,1,1
290,1,3,1,22.0,0,0,7.75,Q,1,1
291,1,1,1,26.0,0,0,78.85,S,2,2
292,1,1,1,19.0,1,0,91.0792,C,2,2
293,0,2,0,36.0,0,0,12.875,C,1,1
294,0,3,1,24.0,0,0,8.85,S,1,1
295,0,3,0,24.0,0,0,7.8958,S,1,1
296,0,1,0,40.0,0,0,27.7208,C,1,1
297,0,3,0,23.5,0,0,7.2292,C,1,1
298,0,1,1,2.0,1,2,151.55,S,4,4
299,1,1,0,40.0,0,0,30.5,S,1,1
300,1,1,1,50.0,0,1,247.5208,C,2,2
301,1,3,1,21.5,0,0,7.75,Q,1,1
302,1,3,0,25.0,2,0,23.25,Q,2,2
303,0,3,0,19.0,0,0,0.0,S,4,4
304,1,2,1,28.0,0,0,12.35,Q,1,1
305,0,3,0,25.0,0,0,8.05,S,1,1
306,1,1,0,0.92,1,2,151.55,S,4,4
307,1,1,1,35.0,0,0,110.8833,C,4,4
308,1,1,1,17.0,1,0,108.9,C,2,2
309,0,2,0,30.0,1,0,24.0,C,2,2
310,1,1,1,30.0,0,0,56.9292,C,2,2
311,1,1,1,24.0,0,0,83.1583,C,2,2
312,1,1,1,18.0,2,2,262.375,C,2,2
313,0,2,1,26.0,1,1,26.0,S,1,1
314,0,3,0,28.0,0,0,7.8958,S,1,1
315,0,2,0,43.0,1,1,26.25,S,3,3
316,1,3,1,26.0,0,0,7.8542,S,1,1
317,1,2,1,24.0,1,0,26.0,S,2,2
318,0,2,0,54.0,0,0,14.0,S,1,1
319,1,1,1,31.0,0,2,164.8667,S,2,2
320,1,1,1,40.0,1,1,134.5,C,2,2
321,0,3,0,22.0,0,0,7.25,S,1,1
322,0,3,0,27.0,0,0,7.8958,S,1,1
323,1,2,1,30.0,0,0,12.35,Q,1,1
324,1,2,1,22.0,1,1,29.0,S,2,2
325,0,3,0,25.0,8,2,69.55,S,7,7
326,1,1,1,36.0,0,0,135.6333,C,3,3
327,0,3,0,61.0,0,0,6.2375,S,1,1
328,1,2,1,36.0,0,0,13.0,S,1,1
329,1,3,1,31.0,1,1,20.525,S,3,3
330,1,1,1,16.0,0,1,57.9792,C,2,2
331,1,3,1,21.5,2,0,23.25,Q,2,2
332,0,1,0,45.5,0,0,28.5,S,1,1
333,0,1,0,38.0,0,1,153.4625,S,3,3
334,0,3,0,16.0,2,0,18.0,S,2,2
335,1,1,1,35.0,1,0,133.65,S,2,2
336,0,3,0,25.0,0,0,7.8958,S,1,1
337,0,1,0,29.0,1,0,66.6,S,2,2
338,1,1,1,41.0,0,0,134.5,C,2,2
339,1,3,0,45.0,0,0,8.05,S,1,1
340,0,1,0,45.0,0,0,35.5,S,1,1
341,1,2,0,2.0,1,1,26.0,S,3,3
342,1,1,1,24.0,3,2,263.0,S,4,4
343,0,2,0,28.0,0,0,13.0,S,1,1
344,0,2,0,25.0,0,0,13.0,S,1,1
345,0,2,0,36.0,0,0,13.0,S,1,1
346,1,2,1,24.0,0,0,13.0,S,1,1
347,1,2,1,40.0,0,0,13.0,S,1,1
348,1,3,1,21.5,1,0,16.1,S,1,1
349,1,3,0,3.0,1,1,15.9,S,2,2
350,0,3,0,42.0,0,0,8.6625,S,1,1
351,0,3,0,23.0,0,0,9.225,S,1,1
352,0,1,0,40.0,0,0,35.0,S,1,1
353,0,3,0,15.0,1,1,7.2292,C,1,1
354,0,3,0,25.0,1,0,17.8,S,2,2
355,0,3,0,25.0,0,0,7.225,C,1,1
356,0,3,0,28.0,0,0,9.5,S,1,1
357,1,1,1,22.0,0,1,55.0,S,2,2
358,0,2,1,38.0,0,0,13.0,S,1,1
359,1,3,1,21.5,0,0,7.8792,Q,1,1
360,1,3,1,21.5,0,0,7.8792,Q,1,1
361,0,3,0,40.0,1,4,27.9,S,6,6
362,0,2,0,29.0,1,0,27.7208,C,1,1
363,0,3,1,45.0,0,1,14.4542,C,2,2
364,0,3,0,35.0,0,0,7.05,S,1,1
365,0,3,0,25.0,1,0,15.5,Q,2,2
366,0,3,0,30.0,0,0,7.25,S,1,1
367,1,1,1,60.0,1,0,75.25,C,1,1
368,1,3,1,21.5,0,0,7.2292,C,1,1
369,1,3,1,21.5,0,0,7.75,Q,1,1
370,1,1,1,24.0,0,0,69.3,C,2,2
371,1,1,0,25.0,1,0,55.4417,C,1,1
372,0,3,0,18.0,1,0,6.4958,S,1,1
373,0,3,0,19.0,0,0,8.05,S,1,1
374,0,1,0,22.0,0,0,135.6333,C,3,3
375,0,3,1,3.0,3,1,21.075,S,4,4
376,1,1,1,35.0,1,0,82.1708,C,2,2
377,1,3,1,22.0,0,0,7.25,S,1,1
378,0,1,0,27.0,0,2,211.5,C,1,1
379,0,3,0,20.0,0,0,4.0125,C,1,1
380,0,3,0,19.0,0,0,7.775,S,1,1
381,1,1,1,42.0,0,0,227.525,C,4,4
382,1,3,1,1.0,0,2,15.7417,C,2,2
383,0,3,0,32.0,0,0,7.925,S,1,1
384,1,1,1,35.0,1,0,52.0,S,2,2
385,0,3,0,25.0,0,0,7.8958,S,1,1
386,0,2,0,18.0,0,0,73.5,S,5,5
387,0,3,0,1.0,5,2,46.9,S,6,6
388,1,2,1,36.0,0,0,13.0,S,1,1
389,0,3,0,25.0,0,0,7.7292,Q,1,1
390,1,2,1,17.0,0,0,12.0,C,1,1
391,1,1,0,36.0,1,2,120.0,S,4,4
392,1,3,0,21.0,0,0,7.7958,S,1,1
393,0,3,0,28.0,2,0,7.925,S,1,1
394,1,1,1,23.0,1,0,113.275,C,3,3
395,1,3,1,24.0,0,2,16.7,S,2,2
396,0,3,0,22.0,0,0,7.7958,S,1,1
397,0,3,1,31.0,0,0,7.8542,S,1,1
398,0,2,0,46.0,0,0,26.0,S,2,2
399,0,2,0,23.0,0,0,10.5,S,1,1
400,1,2,1,28.0,0,0,12.65,S,1,1
401,1,3,0,39.0,0,0,7.925,S,1,1
402,0,3,0,26.0,0,0,8.05,S,1,1
403,0,3,1,21.0,1,0,9.825,S,1,1
404,0,3,0,28.0,1,0,15.85,S,2,2
405,0,3,1,20.0,0,0,8.6625,S,1,1
406,0,2,0,34.0,1,0,21.0,S,1,1
407,0,3,0,51.0,0,0,7.75,S,1,1
408,1,2,0,3.0,1,1,18.75,S,3,3
409,0,3,0,21.0,0,0,7.775,S,1,1
410,0,3,1,21.5,3,1,25.4667,S,4,4
411,0,3,0,25.0,0,0,7.8958,S,1,1
412,0,3,0,25.0,0,0,6.8583,Q,1,1
413,1,1,1,33.0,1,0,90.0,Q,2,2
414,0,2,0,30.0,0,0,0.0,S,3,3
415,1,3,0,44.0,0,0,7.925,S,1,1
416,0,3,1,21.5,0,0,8.05,S,1,1
417,1,2,1,34.0,1,1,32.5,S,1,1
418,1,2,1,18.0,0,2,13.0,S,1,1
419,0,2,0,30.0,0,0,13.0,S,1,1
420,0,3,1,10.0,0,2,24.15,S,3,3
421,0,3,0,25.0,0,0,7.8958,C,1,1
422,0,3,0,21.0,0,0,7.7333,Q,1,1
423,0,3,0,29.0,0,0,7.875,S,1,1
424,0,3,1,28.0,1,1,14.4,S,2,2
425,0,3,0,18.0,1,1,20.2125,S,2,2
426,0,3,0,25.0,0,0,7.25,S,1,1
427,1,2,1,28.0,1,0,26.0,S,1,1
428,1,2,1,19.0,0,0,26.0,S,2,2
429,0,3,0,25.0,0,0,7.75,Q,1,1
430,1,3,0,32.0,0,0,8.05,S,1,1
431,1,1,0,28.0,0,0,26.55,S,1,1
432,1,3,1,21.5,1,0,16.1,S,2,2
433,1,2,1,42.0,1,0,26.0,S,1,1
434,0,3,0,17.0,0,0,7.125,S,1,1
435,0,1,0,50.0,1,0,55.9,S,2,2
436,1,1,1,14.0,1,2,120.0,S,4,4
437,0,3,1,21.0,2,2,34.375,S,4,4
438,1,2,1,24.0,2,3,18.75,S,3,3
439,0,1,0,64.0,1,4,263.0,S,4,4
440,0,2,0,31.0,0,0,10.5,S,1,1
441,1,2,1,45.0,1,1,26.25,S,3,3
442,0,3,0,20.0,0,0,9.5,S,1,1
443,0,3,0,25.0,1,0,7.775,S,1,1
444,1,2,1,28.0,0,0,13.0,S,1,1
445,1,3,0,25.0,0,0,8.1125,S,1,1
446,1,1,0,4.0,0,2,81.8583,S,1,1
